City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.73,86,100,18.8,PN,1711975150
1,wailua homesteads,22.0669,-159.378,22.44,80,75,6.17,US,1711975150
2,mahina,-17.5065,-149.489,26.87,83,75,2.57,PF,1711974778
3,ilulissat,69.2167,-51.1,-2.99,74,75,0.0,GL,1711975150
4,papatowai,-46.5619,169.4708,9.43,89,100,2.53,NZ,1711975150
5,olonkinbyen,70.9221,-8.7187,-5.63,61,100,8.66,SJ,1711975150
6,colonia,50.9333,6.95,12.69,87,75,6.17,DE,1711975150
7,maralal,1.0968,36.698,22.73,55,57,4.7,KE,1711975150
8,sao joao da barra,-21.6403,-41.0511,27.05,76,58,1.72,BR,1711975150
9,ancud,-41.8697,-73.8203,8.2,80,0,2.33,CL,1711975151
10,barotac viejo,11.0419,122.8522,26.63,74,88,5.14,PH,1711975151
11,port-aux-francais,-49.35,70.2167,6.68,85,47,6.38,TF,1711974922
12,invercargill,-46.4,168.35,9.45,93,100,2.13,NZ,1711975151
13,tual,-5.6667,132.75,29.13,75,100,4.19,ID,1711975151
14,nova vicosa,-17.8919,-39.3719,26.81,79,100,3.17,BR,1711975151
15,albany,42.6001,-73.9662,4.77,76,100,1.13,US,1711975037
16,mount pearl,47.5166,-52.7813,2.14,93,100,4.63,CA,1711975116
17,kalabo,-14.97,22.6814,23.69,66,100,0.98,ZM,1711975151
18,puerto natales,-51.7236,-72.4875,10.25,57,75,6.17,CL,1711975151
19,lompoc,34.6391,-120.4579,10.08,88,40,2.06,US,1711975151
20,enewetak,11.3474,162.3373,27.02,78,100,9.06,MH,1711975151
21,grytviken,-54.2811,-36.5092,1.86,93,100,8.58,GS,1711975151
22,bilibino,68.0546,166.4372,-24.62,92,100,1.09,RU,1711975151
23,coquimbo,-29.9533,-71.3436,14.85,100,75,2.57,CL,1711975151
24,namtsy,62.7161,129.6658,-19.07,100,69,1.3,RU,1711975151
25,edinburgh of the seven seas,-37.0676,-12.3116,18.06,84,74,9.25,SH,1711975151
26,waitangi,-43.9535,-176.5597,12.12,89,100,4.21,NZ,1711975152
27,bethel,41.3712,-73.414,8.34,66,0,1.54,US,1711975137
28,port lincoln,-34.7333,135.8667,16.05,79,0,10.31,AU,1711975055
29,iqaluit,63.7506,-68.5145,0.85,86,100,15.95,CA,1711975152
30,ushuaia,-54.8,-68.3,5.81,75,20,3.6,AR,1711974959
31,taltal,-25.4,-70.4833,20.25,74,43,0.99,CL,1711975152
32,yellowknife,62.456,-114.3525,-1.99,92,75,7.2,CA,1711975043
33,georgetown,5.4112,100.3354,30.96,74,20,3.09,MY,1711975152
34,jamestown,42.097,-79.2353,5.01,97,100,0.89,US,1711975152
35,hermanus,-34.4187,19.2345,20.45,67,1,9.84,ZA,1711975152
36,margaret river,-33.95,115.0667,15.29,70,0,7.73,AU,1711975152
37,blackmans bay,-43.0167,147.3167,15.29,88,100,0.45,AU,1711975152
38,salalah,17.0151,54.0924,27.99,51,98,3.2,OM,1711974773
39,i-n-salah,27.1935,2.4607,33.9,8,5,4.02,DZ,1711975152
40,paita,-5.0892,-81.1144,22.24,79,89,3.31,PE,1711974770
41,anadyr,64.75,177.4833,-27.78,61,0,2.68,RU,1711975152
42,nioki,-2.7167,17.6833,29.45,55,97,1.49,CD,1711975152
43,arkhangel'sk,64.5401,40.5433,1.06,69,75,8.0,RU,1711975152
44,kapuskasing,49.4169,-82.4331,-10.95,79,0,3.09,CA,1711974764
45,kuqa,41.7278,82.9364,7.54,64,100,5.8,CN,1711975153
46,nikolayevsk-on-amure,53.1406,140.73,-3.22,97,100,1.96,RU,1711975153
47,ust-nera,64.5667,143.2,-19.39,93,54,0.49,RU,1711975153
48,mpanda,-6.3655,31.0409,24.54,84,33,0.96,TZ,1711975153
49,avenal,36.0041,-120.129,6.65,90,6,2.41,US,1711975153
50,nemuro,43.3236,145.575,0.08,86,17,2.93,JP,1711974758
51,tura,25.5198,90.2201,26.29,17,0,0.97,IN,1711975153
52,port alfred,-33.5906,26.891,17.88,95,100,1.79,ZA,1711975153
53,iskateley,67.6803,53.1512,-9.43,87,100,4.92,RU,1711975153
54,merizo village,13.2658,144.6691,27.31,90,100,7.69,GU,1711975153
55,callao,-12.0667,-77.15,24.29,88,20,3.6,PE,1711975153
56,utrik,11.2278,169.8474,26.94,74,100,8.99,MH,1711975153
57,buncrana,55.1333,-7.45,9.87,73,96,6.86,IE,1711975153
58,avarua,-21.2078,-159.775,27.03,83,75,5.14,CK,1711975153
59,whangarei,-35.7317,174.3239,14.67,85,96,1.08,NZ,1711975153
60,ranau,5.9538,116.6641,22.93,93,100,0.72,MY,1711975153
61,punta arenas,-53.15,-70.9167,6.01,87,75,3.6,CL,1711975154
62,whitehorse,60.7161,-135.0538,-4.57,63,0,2.06,CA,1711974905
63,atafu village,-8.5421,-172.5159,29.21,76,3,6.12,TK,1711975154
64,coracora,-15.0333,-73.7833,13.26,63,90,0.7,PE,1711975154
65,yangambi,0.8102,24.4336,26.73,69,95,1.04,CD,1711975154
66,port mathurin,-19.6833,63.4167,27.11,78,100,3.6,MU,1711975154
67,takahagi,36.7167,140.7167,9.71,53,1,4.19,JP,1711975154
68,puerto ayora,-0.7393,-90.3518,23.08,96,5,0.89,EC,1711975154
69,ulladulla,-35.35,150.4667,17.65,82,100,4.24,AU,1711974783
70,west island,-12.1568,96.8225,27.99,83,75,4.63,CC,1711975154
71,nova sintra,14.8667,-24.7167,19.29,78,5,8.17,CV,1711975154
72,ulsteinvik,62.3432,5.8487,8.5,89,100,4.92,NO,1711974762
73,hammerfest,70.6634,23.6821,-6.75,58,75,5.14,NO,1711974757
74,rio grande,-32.035,-52.0986,23.06,95,100,3.88,BR,1711974912
75,moyynkum,44.2914,72.9469,11.75,37,0,6.96,KZ,1711975154
76,areia branca,-4.9561,-37.1369,28.11,68,82,2.39,BR,1711975019
77,chonchi,-42.6128,-73.8092,2.56,73,33,0.48,CL,1711975154
78,sinabang,2.4803,96.3801,28.13,78,83,1.16,ID,1711975154
79,ambovombe,-25.1667,46.0833,23.16,80,75,9.3,MG,1711974780
80,hasaki,35.7333,140.8333,10.22,50,28,6.61,JP,1711975155
81,sitka,57.0531,-135.33,3.94,70,100,1.54,US,1711975155
82,meadow lake,34.8014,-106.5436,3.56,90,100,2.49,US,1711975155
83,dudinka,69.4058,86.1778,-19.62,92,100,1.34,RU,1711975155
84,petrolina,-9.3986,-40.5008,30.03,66,0,2.06,BR,1711975122
85,adrar,20.5022,-10.0711,35.35,11,54,2.51,MR,1711975155
86,codrington,-38.2667,141.9667,15.26,84,100,5.37,AU,1711975155
87,puerto armuelles,8.2833,-82.8667,27.87,70,80,1.79,PA,1711974953
88,harrah,35.4895,-97.1636,20.96,87,100,4.47,US,1711975155
89,puerto cabezas,14.0351,-83.3888,23.98,88,75,0.0,NI,1711975155
90,la passe,45.5549,-0.8967,13.34,72,46,10.14,FR,1711974771
91,kruisfontein,-34.0033,24.7314,16.1,91,100,4.83,ZA,1711974783
92,gumdag,39.2061,54.5906,18.97,30,3,2.25,TM,1711975155
93,nayoro,44.3506,142.4578,-3.02,93,74,2.54,JP,1711975155
94,laguna,38.421,-121.4238,10.73,87,0,2.57,US,1711975155
95,nizhniy odes,63.6445,54.856,-1.85,81,100,0.68,RU,1711975155
96,inarajan village,13.2736,144.7484,27.54,90,100,7.82,GU,1711974793
97,de aar,-30.6497,24.0123,20.06,64,100,8.21,ZA,1711974789
98,ust'-kulom,61.6864,53.6902,1.0,87,98,0.88,RU,1711974921
99,hotan,37.0997,79.9269,15.93,10,56,2.73,CN,1711974774
100,rosarito,32.3333,-117.0333,11.53,74,96,1.45,MX,1711975156
101,berezovyy,51.6667,135.7,-3.18,90,89,1.95,RU,1711974794
102,chistopol',55.3631,50.6424,2.64,100,100,3.23,RU,1711975128
103,la ronge,55.1001,-105.2842,-1.86,74,100,7.2,CA,1711975156
104,port blair,11.6667,92.75,30.02,58,20,1.03,IN,1711975156
105,badger,64.8,-147.5333,-1.59,78,100,2.06,US,1711975156
106,gumel,12.6279,9.3912,42.68,7,99,5.76,NG,1711975156
107,kampong cham,11.9934,105.4635,34.03,42,79,5.83,KH,1711975156
108,port elizabeth,-33.918,25.5701,20.17,75,20,6.17,ZA,1711975111
109,boyolangu,-8.1181,111.8935,25.56,91,100,1.74,ID,1711975156
110,kodiak,57.79,-152.4072,-3.27,86,0,3.09,US,1711975064
111,mancio lima,-7.6142,-72.8958,25.04,94,100,1.03,BR,1711975156
112,talnakh,69.4865,88.3972,-19.25,98,93,3.39,RU,1711975156
113,stanley,54.868,-1.6985,6.82,95,75,6.69,GB,1711975156
114,kerikeri,-35.2268,173.9474,16.06,88,50,1.7,NZ,1711974787
115,namibe,-15.1961,12.1522,25.97,71,100,5.25,AO,1711975156
116,saldanha,-33.0117,17.9442,21.03,71,0,5.43,ZA,1711975156
